Step,Voltage_Mean,Voltage_Std,Voltage_StdErr,Resistance_Mean,Resistance_Std,Resistance_StdErr
0,-0.00021070963638545535,0.0647767423704742,0.0003173462790038207,0.0,0.0,0.0
1,-0.0006975260770430818,0.06384654824230582,0.00031278918590955614,0.0,0.0,0.0
2,-0.0002510850834033362,0.06467059284383865,0.00031682624424963146,0.0,0.0,0.0
3,-0.00021475459018360728,0.06420635593924122,0.00031455191169045977,0.0,0.0,0.0
4,-0.0003067476299051961,0.06339111427406242,0.0003105579796175296,0.0,0.0,0.0
5,-0.0002619853354134165,0.06416548954037095,0.0003143517040365522,0.0,0.0,0.0
6,-0.0002534280331213248,0.06385833462331483,0.0003128469283031878,0.0,0.0,0.0
7,-0.00024264627385095416,0.06438514429690274,0.00031542780970503714,0.0,0.0,0.0
8,-0.0002712424576983081,0.06375206112086286,0.00031232628618186974,0.0,0.0,0.0
9,-0.0001846346333853353,0.06493437674686511,0.00031811854202539467,0.0,0.0,0.0
10,-0.00026731354854194156,0.06454402749876084,0.00031620619081931903,0.0,0.0,0.0
11,-0.00023579066362654498,0.06392723513740846,0.0003131844772593241,0.0,0.0,0.0
12,-0.0006848718588743551,0.06304837794774963,0.0003088788878037928,0.0,0.0,0.0
13,-0.0006737376935077405,0.06440111761833855,0.00031550606424417396,0.0,0.0,0.0
14,-0.0006011372614904597,0.064236454157207,0.00031469936519192573,0.0,0.0,0.0
15,-0.000671103204128165,0.06495205612956563,0.00031820515469083263,0.0,0.0,0.0
16,-0.000695829425177007,0.06413271971598233,0.00031419116212825647,0.0,0.0,0.0
17,-0.0006843441497659907,0.06492954948061973,0.0003180948928740994,0.0,0.0,0.0
18,-0.00017549405976239048,0.06353515511566182,0.00031126364685909476,0.0,0.0,0.0
19,-0.0006860458178327132,0.06411879269019409,0.0003141229325500197,0.0,0.0,0.0
20,-0.0006852222248889956,0.06395824572139122,0.0003133364005125865,0.0,0.0,0.0
21,-0.0007265897515900637,0.06473535032056267,0.00031714349614474083,0.0,0.0,0.0
22,-0.0007104172086883476,0.06498359604931128,0.0003183596712010041,0.0,0.0,0.0
23,-0.0006941864634585381,0.06457743420703087,0.00031636985287108793,0.0,0.0,0.0
24,-0.0007565953678147127,0.06447987464958886,0.0003158919010414264,0.0,0.0,0.0
25,-0.000782256906276251,0.06325451312083473,0.0003098887599856359,0.0,0.0,0.0
26,-0.0006686419296771871,0.06376416131340243,0.0003123855659625,0.0,0.0,0.0
27,-0.0007157506060242409,0.06410870712526597,0.0003140735225861273,0.0,0.0,0.0
28,-0.0003799946717868715,0.06277693505351699,0.000307549068036783,0.0,0.0,0.0
29,-0.0008331790711628466,0.06444425433006125,0.00031571739433662236,0.0,0.0,0.0
30,-0.00033100823232929316,0.06478045610416802,0.0003173644728728826,0.0,0.0,0.0
31,-0.0004228289211568463,0.06488541668872515,0.0003178786829077245,0.0,0.0,0.0
32,-0.000417496267850714,0.06398037519634676,0.00031344481452472205,0.0,0.0,0.0
33,-0.0004940245529821194,0.06404687361184734,0.00031377059541376495,0.0,0.0,0.0
34,-0.00040882445697827907,0.06473701874193806,0.00031715166987030826,0.0,0.0,0.0
35,-0.00036083410536421446,0.06427741478433922,0.0003149000344773883,0.0,0.0,0.0
36,-0.00033429225969038755,0.06504532117973151,0.0003186620673966611,0.0,0.0,0.0
37,-0.00024440319212768526,0.06482619281595829,0.00031758854056707905,0.0,0.0,0.0
38,-0.0002037369974798992,0.06509519489022203,0.0003189064025679755,0.0,0.0,0.0
39,-0.00023250814832593287,0.06450923264961633,0.0003160357281578694,0.0,0.0,0.0
40,-0.0002795063722548903,0.06448417408359838,0.00031591296430170804,0.0,0.0,0.0
41,-0.0002819051962078483,0.06448002163628336,0.00031589262114062956,0.0,0.0,0.0
42,-0.0002760462258490341,0.06411004280366384,0.00031408006617807095,0.0,0.0,0.0
43,-0.00023198175927037067,0.06520851512559858,0.00031946156717978805,0.0,0.0,0.0
44,-0.0002284657146285853,0.06426567321633654,0.0003148425116261462,0.0,0.0,0.0
45,-9.808976359054364e-05,0.06395488142813424,0.0003133199185792952,0.0,0.0,0.0
46,-0.00018856001440057594,0.06537968678629476,0.0003203001504058812,0.0,0.0,0.0
47,-0.00023871830073202944,0.06505453817296139,0.0003187072221605172,0.0,0.0,0.0
48,-0.0002503820232809314,0.06442720466472518,0.0003156338667053358,0.0,0.0,0.0
49,-0.0002689563902556101,0.06495379364298287,0.00031821366690366556,0.0,0.0,0.0
50,-0.0002629763590543621,0.06382639907760543,0.00031269047359077154,0.0,0.0,0.0
51,-0.0001825267010680427,0.06414279919506329,0.00031424054227711213,0.0,0.0,0.0
52,-0.0002138775711028442,0.06453797988547538,0.0003161765630933365,0.0,0.0,0.0
53,-0.0002468679227169086,0.06456813160820124,0.00031632427871876697,0.0,0.0,0.0
54,-0.00020233152526101037,0.06520441234257991,0.00031944146732794485,0.0,0.0,0.0
55,-0.00015076623064922605,0.06469478220037043,0.000316944749781184,0.0,0.0,0.0
56,-0.0006757909516380656,0.06541379001782346,0.00032046722477905275,0.0,0.0,0.0
57,-0.0005970927637105485,0.06413513741860391,0.0003142030066406944,0.0,0.0,0.0
58,-0.0006026624264970598,0.06486601911086325,0.00031778365267108566,0.0,0.0,0.0
59,-0.0005941642865714627,0.0648366327549807,0.000317639686637112,0.0,0.0,0.0
60,-0.0006064698187927518,0.06444153965001673,0.00031570409490878313,0.0,0.0,0.0
61,-0.0002900492259690388,0.06393142435336843,0.0003132050005528426,0.0,0.0,0.0
62,-0.000282492499699988,0.06486401038621135,0.00031777381177340396,0.0,0.0,0.0
